campaign,depth (m lat),"Min of SPMC_(0.0,_459.0]_mean","Mean of SPMC_(0.0,_459.0]_mean","Max of SPMC_(0.0,_459.0]_mean"
grid_Multiingest_0095_6565_21430,-4.0,11.936031380084918,17.97537988570425,54.00079434821366
grid_Multiingest_0095_6565_21430,-3.0,12.783964881011102,17.699618103204877,57.24595219138846
grid_Multiingest_0095_6565_21430,-2.0,14.040314166991854,17.791079118711078,31.82557961492406
grid_Multiingest_0095_6565_21430,-1.0,16.00767910034258,19.648791331027198,24.63247993449104
grid_Multiingest_0095_6565_21430,0.0,22.200054098442045,27.60143159333555,29.66175622185386
grid_Multiingest_0095_6565_KW_21550,-25.0,,,
grid_Multiingest_0095_6565_KW_21550,-24.0,9.199873804643124,23.9900035823382,40.352562552100714
grid_Multiingest_0095_6565_KW_21550,-23.0,9.208697139300998,23.84494035987495,51.10880185661202
grid_Multiingest_0095_6565_KW_21550,-22.0,9.887729409001347,24.466047181170847,55.21917138911381
grid_Multiingest_0095_6565_KW_21550,-21.0,9.15342062792012,25.547619490411815,50.73858644435394
grid_Multiingest_0095_6565_KW_21550,-20.0,9.239889112080734,26.39912075978039,52.24004315476419
grid_Multiingest_0095_6565_KW_21550,-19.0,13.667406422139392,26.86937356814823,55.760477227258036
grid_Multiingest_0095_6565_KW_21550,-18.0,9.241382134123947,26.972830252980607,57.14058154995593
grid_Multiingest_0095_6565_KW_21550,-17.0,13.440551880505103,26.905251833860078,52.11549150698827
grid_Multiingest_0095_6565_KW_21550,-16.0,11.931166689505499,26.943204531180882,55.34339536453745
grid_Multiingest_0095_6565_KW_21550,-15.0,15.735112257901058,27.218672071437236,46.935301551147546
grid_Multiingest_0095_6565_KW_21550,-14.0,18.864372248737254,27.59273579056297,57.488177997840154
grid_Multiingest_0095_6565_KW_21550,-13.0,12.110874533099707,27.916543824829066,82.18374998213021
grid_Multiingest_0095_6565_KW_21550,-12.0,9.596590601330362,28.200051933295754,59.44512791078778
grid_Multiingest_0095_6565_KW_21550,-11.0,9.217566324241508,28.200740999229456,83.54322686408776
grid_Multiingest_0095_6565_KW_21550,-10.0,9.465478511017842,27.724080943420965,54.793876042094354
grid_Multiingest_0095_6565_KW_21550,-9.0,9.757137195504958,27.05196185757751,71.65768916270333
grid_Multiingest_0095_6565_KW_21550,-8.0,10.040690048673522,26.620458630641014,47.61944592527062
grid_Multiingest_0095_6565_KW_21550,-7.0,13.635299668090733,26.41411828975038,161.03685302733697
grid_Multiingest_0095_6565_KW_21550,-6.0,10.840958277977105,26.31735545986981,80.69769343050584
grid_Multiingest_0095_6565_KW_21550,-5.0,13.483092629198927,26.32971297270551,58.56817678306063
grid_Multiingest_0095_6565_KW_21550,-4.0,15.193352811848188,26.406280613446174,53.06486177962136
grid_Multiingest_0095_6565_KW_21550,-3.0,12.898798624678777,26.021979841805017,57.13475347402045
grid_Multiingest_0095_6565_KW_21550,-2.0,14.040314166991854,24.850815211690872,45.790900384560096
grid_Multiingest_0095_6565_KW_21550,-1.0,16.676843557608432,23.096187424271076,69.02641718829285
grid_Multiingest_0095_6565_KW_21550,0.0,22.25788727849881,27.61834090790167,31.50234960080506
grid_Multiingest_0095_6565_WD_21550,-16.0,12.533442886341291,36.685730983878855,66.80774764910186
grid_Multiingest_0095_6565_WD_21550,-15.0,10.577373172072608,34.12569593805679,79.18611070946085
grid_Multiingest_0095_6565_WD_21550,-14.0,20.50598676551406,35.9315050354101,85.14214179582797
grid_Multiingest_0095_6565_WD_21550,-13.0,19.511306937293433,37.30909235454817,66.3618404350205
grid_Multiingest_0095_6565_WD_21550,-12.0,18.59248219117378,37.485522612795236,84.93213924313447
grid_Multiingest_0095_6565_WD_21550,-11.0,17.903948537982423,37.09622938114128,69.6862275171094
grid_Multiingest_0095_6565_WD_21550,-10.0,21.221359636604138,37.358454989966,80.93285070767827
grid_Multiingest_0095_6565_WD_21550,-9.0,17.325833099686395,37.8233792687831,87.76585400198876
grid_Multiingest_0095_6565_WD_21550,-8.0,16.469271668143303,37.79213135903382,75.54778132152155
grid_Multiingest_0095_6565_WD_21550,-7.0,14.173253669131025,37.5743770967635,77.00815023872954
grid_Multiingest_0095_6565_WD_21550,-6.0,10.914657107096916,37.27444399238055,63.194709968407736
grid_Multiingest_0095_6565_WD_21550,-5.0,11.447307809880465,36.865095867617626,76.04409959261825
grid_Multiingest_0095_6565_WD_21550,-4.0,12.13747156215104,36.228147425431644,105.23261323618479
grid_Multiingest_0095_6565_WD_21550,-3.0,20.23829770192071,35.15332648025206,69.37552489859675
grid_Multiingest_0095_6565_WD_21550,-2.0,18.76199026912343,33.11593818507706,59.2096591743839
grid_Multiingest_0095_6565_WD_21550,-1.0,16.41610501747861,28.125438858655077,47.32678175398541
grid_Multiingest_0095_6565_WD_21550,0.0,22.401930002841596,28.237306995376912,29.623359031423536
